,spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,pappus_type,nr_cerdas,long_cerda_max,dispersion,area,vol,PL,log_PL,loglog_PL,sqrt_PL
Cichorium-intybus,Cichorium_intybus,Cichorioideae,Cichorieae,1.734,1.125,1.628,Coroniform,12,0.378,ambiguo,0.448883324715524,0.861814950326759,1.91990816072776,0.652277351941366,0.185663146913031,1.38560750601596
Tragopogon-dubius,Tragopogon_dubius,Cichorioideae,Cichorieae,12.772,1.842,17.537,Setose,24,32.372,viento,3292.22066133039,17.0175896543544,0.005169030695215,-5.26507009445836,0.349936579655341,0.071895971342036
Tragopogon-pratensis,Tragopogon_pratensis,Cichorioideae,Cichorieae,8.879,1.654,10.691,Setose,28,20.35,viento,1301.00420368624,9.53882655641695,0.007331895261104,-4.91552123428072,0.314517436146866,0.085626486913245
Scolymus-hispanicus,Scolymus_hispanicus,Cichorioideae,Cichorieae,3.144,1.584,3.624,Aristate,2,5.343,ambiguo,89.68508437566,3.09779573553884,0.034540813042101,-3.36561366739469,0.251471138649955,0.185851588753234
Lychnophora-granmogolensis,Lychnophora_granmogolensis,Cichorioideae,Vernonieae,2.428,1.288,2.696,Paleaceous,9,3.954,ambiguo,49.1160239709706,1.58175892692597,0.032204539289263,-3.43564786465111,0.11774926794814,0.179456232238569
Eremanthus-incanus,Eremanthus_incanus,Cichorioideae,Vernonieae,2.847,1.076,2.563,Setose,21,4.41,viento,61.0980080862797,1.2944101075205,0.021185798783719,-3.85442419045897,0.062749270993972,0.145553422439043
Heterocoma-ekmaniana,Heterocoma_ekmaniana,Cichorioideae,Vernonieae,3.735,1.421,4.592,Paleaceous,NA,16,viento,804.247719318987,2.96168351281012,0.003682551334991,-5.60414946946903,0.162297892534589,0.060684028664809
Centratherum-punctatum,Centratherum_punctatum,Cichorioideae,Vernonieae,3.134,1.702,4.125,Epappose,0,0,ambiguo,0,3.56515149625217,35651514.9625217,17.3893021993641,-0.078868284190271,5970.88895915187
Allocephalus-gamolepis,Allocephalus_gamolepis,Cichorioideae,Vernonieae,2.033,1.402,2.071,Paleaceous,10,6.2,viento,120.762821603992,1.56925417079753,0.012994513946056,-4.34322801473899,0.093995948913728,0.113993482033209
Elephantopus-tomentosus,Elephantopus_tomentosus,Cichorioideae,Vernonieae,2.744,0.687,1.376,Paleaceous,6,4.705,ambiguo,69.5455151123336,0.508577879690888,0.007312878165301,-4.91811835284837,-0.159391767764174,0.085515368006582
Strophopappus-speciosus,Strophopappus_speciosus,Cichorioideae,Vernonieae,1.984,1.289,2.023,Paleaceous,32,9,viento,254.469004940773,1.29451589751152,0.005087126022692,-5.28104223996847,0.046601996259668,0.071324091460686
Stilpnopappus-tomentosus,Stilpnopappus_tomentosus,Cichorioideae,Vernonieae,1.232,0.836,0.691,Paleaceous,8,4.793,viento,72.1713336504276,0.338129567040387,0.004685095168251,-5.36336905010396,-0.253403889809698,0.068447755027111
Lepidaploa-opposita,Lepidaploa_opposita,Cichorioideae,Vernonieae,1.063,0.81,0.693,Setose,20,3.828,viento,46.0355918431609,0.273881809155193,0.005949349136063,-5.12447345430498,-0.338187079445328,0.07713202406305
Lessingianthus-monocephalus,Lessingianthus_monocephalus,Cichorioideae,Vernonieae,3.133,1.219,3.588,Setose,36,11.374,viento,406.421168852115,1.82821678459899,0.004498330609384,-5.40404892672678,0.100433142971975,0.067069595267783
Cyrtocymura-scorpioides,Cyrtocymura_scorpioides,Cichorioideae,Vernonieae,0.976,0.586,0.503,Setose,40,5.376,viento,90.7963505202364,0.131614862806399,0.001449561154246,-6.53649442060219,-0.449777478470437,0.038073102766206
Stokesia-laevis,Stokesia_laevis,Cichorioideae,Vernonieae,6.758,2.414,12.196,Epappose,0,0,ambiguo,0,15.4650954452532,154650954.452532,18.8566812287707,-0.169907514951961,12435.8736907598
Gymnanthemum-amygdalinum,Gymnanthemum_amygdalinum,Cichorioideae,Vernonieae,3.337,0.851,2.433,Setose,41,5.691,viento,101.748272377879,0.949019666799099,0.009327132969313,-4.67482760295292,-0.011319791450849,0.096577083044133
